;Start;End;Ce;Kla;stBOD;PeakNo
0;2017-08-10 04:01:32;2017-08-10 04:30:46;7.632218646901863;11.369844185290482;203.7299666366748;3.0
1;2017-08-10 04:30:46;2017-08-10 05:00:04;7.62844518271177;10.971279012830205;206.89907697618364;4.0
2;2017-08-10 05:00:04;2017-08-10 05:29:52;7.629176315152568;10.52892534871462;204.89363895818263;5.0
3;2017-08-10 05:29:52;2017-08-10 06:00:01;7.637100676394025;9.97195890313341;202.9669057290886;6.0
4;2017-08-10 06:00:01;2017-08-10 06:30:30;7.632201645593113;9.64979896973492;200.87661567300168;7.0
5;2017-08-10 06:30:30;2017-08-10 06:56:25;7.626390642683321;9.623355840204892;203.0302494775803;8.0
6;2017-08-10 09:05:17;2017-08-10 09:36:06;7.627421373520119;11.348771949469686;245.74904392557588;3.0
7;2017-08-10 09:36:06;2017-08-10 10:07:56;7.627019602079905;10.836277184213555;257.842252737691;4.0
8;2017-08-10 10:07:56;2017-08-10 10:40:06;7.6289018726041;10.2893507695432;250.47855778443275;5.0
9;2017-08-10 10:40:06;2017-08-10 11:17:20;7.6289018726041;10.2893507695432;475.79978734611456;6.0
10;2017-08-10 11:17:20;2017-08-10 11:50:56;7.6289018726041;10.2893507695432;273.41417986230385;7.0
